Cost per message in INR,,
Market,Currency,Rate
Argentina,₹,4.529300
Brazil,₹,4.580800
Chile,₹,6.513500
Colombia,₹,0.916100
Egypt,₹,7.865100
France,₹,10.498400
Germany,₹,10.007300
India,₹,0.784600
Indonesia,₹,3.011100
Israel,₹,2.587100
Italy,₹,5.061400
Malaysia,₹,6.303700
Mexico,₹,3.193800
Netherlands,₹,11.707800
Nigeria,₹,3.785100
Pakistan,₹,3.468300
Peru,₹,5.153600
Russia,₹,5.876700
Saudi Arabia,₹,3.329200
South Africa,₹,2.782100
Spain,₹,4.504400
Turkey,₹,0.798900
United Arab Emirates,₹,2.816400
United Kingdom,₹,3.874700
North America,₹,1.831300
Rest of Africa,₹,1.649700
Rest of Asia Pacific,₹,5.366400
Rest of Central & Eastern Europe,₹,6.299700
Rest of Latin America,₹,5.420700
Rest of Middle East,₹,2.499300
Rest of Western Europe,₹,4.337800
Other,₹,4.424800
